"","verbatim_name","usageKey","scientificName","status","rank","matchType","confidence","acceptedUsageKey","kingdomKey","phylumKey","classKey","orderKey","familyKey"
"78","Certhia brachydactyla",7806848,"Certhia brachydactyla C.L.Brehm, 1820","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5227
"79","Certhia familiaris",2487603,"Certhia familiaris Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5227
"80","Cettia cetti",2493012,"Cettia cetti (Temminck, 1820)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100900
"81","Anarhynchus alexandrinus",9372299,"Anarhynchus alexandrinus","SYNONYM","SPECIES","EXACT",98,2480311,1,44,212,7192402,2480210
"82","Charadrius dubius",7937336,"Charadrius dubius Scopoli, 1786","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"83","Charadrius hiaticula",9566659,"Charadrius hiaticula Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"84","Eudromias morinellus",2480282,"Eudromias morinellus (Linnaeus, 1758)","SYNONYM","SPECIES","EXACT",98,2480281,1,44,212,7192402,2480210
"85","Pluvialis apricaria",2480332,"Pluvialis apricaria (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"86","Pluvialis squatarola",2480327,"Pluvialis squatarola (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"87","Vanellus vanellus",2480242,"Vanellus vanellus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"88","Ciconia ciconia",2481912,"Ciconia ciconia (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,839,9289
"89","Ciconia nigra",2481909,"Ciconia nigra (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,839,9289
"90","Cinclus cinclus",2495093,"Cinclus cinclus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9290
"91","Cisticola juncidis",2492822,"Cisticola juncidis (Rafinesque, 1810)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9293
"92","Columba oenas",2495471,"Columba oenas Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1446,5233
"93","Columba palumbus",2495455,"Columba palumbus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1446,5233
"94","Streptopelia decaocto",2495696,"Streptopelia decaocto (Frivaldszky, 1838)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1446,5233
"95","Streptopelia turtur",2495708,"Streptopelia turtur (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1446,5233
"96","Coloeus monedula",6100954,"Coloeus monedula (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"97","Corvus corax",2482492,"Corvus corax Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"98","Corvus corone",9409796,"Corvus corone Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"99","Corvus frugilegus",2482513,"Corvus frugilegus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"100","Garrulus glandarius",5229493,"Garrulus glandarius (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"101","Nucifraga caryocatactes",2482613,"Nucifraga caryocatactes (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"102","Pica pica",5229490,"Pica pica (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5235
"103","Cuculus canorus",5231918,"Cuculus canorus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1492,9309
"104","Emberiza aureola",2491518,"Emberiza aureola Pallas, 1773","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"105","Emberiza bruniceps",2491521,"Emberiza bruniceps J.F.Brandt, 1841","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"106","Emberiza calandra",7634625,"Emberiza calandra Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",97,NA,1,44,212,729,9608
"107","Emberiza chrysophrys",2491530,"Emberiza chrysophrys Pallas, 1776","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"108","Emberiza cia",2491498,"Emberiza cia Linnaeus, 1767","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"109","Emberiza cirlus",7626513,"Emberiza cirlus Linnaeus, 1767","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"110","Emberiza citrinella",2491534,"Emberiza citrinella Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"111","Emberiza hortulana",2491482,"Emberiza hortulana Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"112","Emberiza leucocephalos",2491472,"Emberiza leucocephalos S.G.Gmelin, 1771","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"113","Emberiza melanocephala",9613112,"Emberiza melanocephala Scopoli, 1769","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"114","Emberiza pusilla",2491544,"Emberiza pusilla Pallas, 1776","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"115","Emberiza rustica",2491582,"Emberiza rustica Pallas, 1776","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"116","Emberiza schoeniclus",2491557,"Emberiza schoeniclus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9608
"117","Falco columbarius",9813242,"Falco columbarius Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191407,5240
"118","Falco peregrinus",2481047,"Falco peregrinus Tunstall, 1771","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191407,5240
"119","Falco subbuteo",2481035,"Falco subbuteo Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191407,5240
"120","Falco tinnunculus",9616058,"Falco tinnunculus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191407,5240
"121","Acanthis cabaret",6871058,"Acanthis cabaret (Müller & Pls, 1776)","SYNONYM","SPECIES","EXACT",98,8732478,1,44,212,729,5242
"122","Acanthis flammea",5231630,"Acanthis flammea (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"123","Acanthis hornemanni",5231646,"Acanthis hornemanni (Holböll, 1843)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"124","Carduelis carduelis",2494686,"Carduelis carduelis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"125","Carduelis citrinella",2494632,"Carduelis citrinella (Pallas, 1764)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"126","Carpodacus erythrinus",2494459,"Carpodacus erythrinus (Pallas, 1770)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"127","Chloris chloris",NA,NA,NA,NA,"NONE",100,NA,NA,NA,NA,NA,NA
"128","Coccothraustes coccothraustes",2494329,"Coccothraustes coccothraustes (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"129","Fringilla coelebs",2494422,"Fringilla coelebs Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"130","Fringilla montifringilla",2494441,"Fringilla montifringilla Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"131","Linaria cannabina",8104397,"Linaria cannabina (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"132","Linaria flavirostris",7668711,"Linaria flavirostris (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"133","Loxia curvirostra",9629160,"Loxia curvirostra Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"134","Loxia leucoptera",8144830,"Loxia leucoptera J.F.Gmelin, 1789","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"135","Loxia pytyopsittacus",2494154,"Loxia pytyopsittacus von Borkhausen, 1793","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"136","Pinicola enucleator",2494771,"Pinicola enucleator (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"137","Pyrrhula pyrrhula",2494543,"Pyrrhula pyrrhula (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"138","Serinus serinus",2494200,"Serinus serinus (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"139","Spinus spinus",6092830,"Spinus spinus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5242
"140","Gavia stellata",2481958,"Gavia stellata (Pontoppidan, 1763)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192754,9312
"141","Grus grus",2474950,"Grus grus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1493,9313
"142","Haematopus ostralegus",7788295,"Haematopus ostralegus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,4287243
"143","Cecropis daurica",9717283,"Cecropis daurica (Laxmann, 1769)","ACCEPTED","SPECIES","EXACT",97,NA,1,44,212,729,5248
"144","Delichon urbicum",2489214,"Delichon urbicum (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5248
"145","Hirundo rustica",9515886,"Hirundo rustica Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5248
"146","Ptyonoprogne rupestris",4408796,"Ptyonoprogne rupestris (Scopoli, 1769)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5248
"147","Riparia riparia",2489160,"Riparia riparia (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5248
"148","Lanius collurio",7745240,"Lanius collurio Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9315
"149","Lanius excubitor",9444556,"Lanius excubitor Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,9315
"150","Chlidonias hybrida",2481121,"Chlidonias hybrida (Pallas, 1811)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9316
