"","eeacellcode","pd"
"526","1kmE3812N3099",11111.5008595
"527","1kmE3812N3100",11185.310807
"528","1kmE3812N3101",9833.8228055
"529","1kmE3812N3102",8165.6174805
"530","1kmE3812N3103",5126.7381675
"531","1kmE3812N3104",4045.9857405
"532","1kmE3812N3105",3849.854087
"533","1kmE3812N3106",4271.441202
"534","1kmE3812N3107",3936.6636125
"535","1kmE3812N3108",2695.1988805
"536","1kmE3812N3109",2844.2420825
"537","1kmE3812N3110",3256.4337275
"538","1kmE3812N3111",5306.428419
"539","1kmE3812N3112",3450.0610965
"540","1kmE3812N3113",1058.646028
"541","1kmE3812N3114",572.5185015
"542","1kmE3812N3115",869.9655645
"543","1kmE3812N3116",3687.6121015
"544","1kmE3812N3117",6629.6049055
"545","1kmE3812N3118",5656.51215
"546","1kmE3812N3119",9232.5733945
"547","1kmE3812N3120",7461.575631
"548","1kmE3812N3121",9740.3246565
"549","1kmE3812N3122",4667.6868195
"550","1kmE3812N3123",3247.4266265
"551","1kmE3812N3124",5829.6843335
"552","1kmE3812N3125",8640.2290635
"553","1kmE3812N3126",7298.489414
"554","1kmE3812N3127",5565.3523525
"555","1kmE3812N3128",9464.042443
"556","1kmE3812N3129",9323.6433
"557","1kmE3812N3130",6636.1066675
"558","1kmE3812N3131",6018.4640395
"559","1kmE3812N3132",6651.4649895
"560","1kmE3812N3133",7596.913494
"561","1kmE3812N3134",7922.776014
"562","1kmE3812N3135",6753.8785565
"563","1kmE3812N3136",9073.989214
"564","1kmE3812N3137",16245.4406415
"565","1kmE3812N3138",20790.9712515
"566","1kmE3812N3139",21600.6301805
"567","1kmE3812N3140",21783.4010075
"568","1kmE3812N3141",14570.8223905
"569","1kmE3812N3142",205.0163905
"570","1kmE3812N3161",205.01639
"571","1kmE3813N3092",1286.3341855
"572","1kmE3813N3093",3207.805105
"573","1kmE3813N3094",8605.216887
"574","1kmE3813N3095",5448.043903
"575","1kmE3813N3096",6829.7633945
"576","1kmE3813N3097",9064.2104385
"577","1kmE3813N3098",11855.632307
"578","1kmE3813N3099",11307.716425
"579","1kmE3813N3100",11550.755821
"580","1kmE3813N3101",10111.7566485
"581","1kmE3813N3102",6811.083024
"582","1kmE3813N3103",4437.9562875
"583","1kmE3813N3104",8036.352926
"584","1kmE3813N3105",3710.369951
"585","1kmE3813N3106",3580.2661035
"586","1kmE3813N3107",5084.701434
"587","1kmE3813N3108",8683.7949645
"588","1kmE3813N3109",9481.614559
"589","1kmE3813N3110",5336.8233345
"590","1kmE3813N3111",5088.1930765
"591","1kmE3813N3112",4896.514518
"592","1kmE3813N3113",2013.8398255
"593","1kmE3813N3114",3878.358108
"594","1kmE3813N3115",944.779222499999
"595","1kmE3813N3116",3130.1497385
"596","1kmE3813N3117",4542.9551995
"597","1kmE3813N3118",6994.779686
"598","1kmE3813N3119",7670.9168785
"599","1kmE3813N3120",4394.6858715
"600","1kmE3813N3121",7143.075224
"601","1kmE3813N3122",4015.753009
"602","1kmE3813N3123",2935.7189595
"603","1kmE3813N3124",6681.711973
"604","1kmE3813N3125",8960.150343
"605","1kmE3813N3126",10354.699854
"606","1kmE3813N3127",8408.427659
"607","1kmE3813N3128",8254.8527165
"608","1kmE3813N3129",8470.036943
"609","1kmE3813N3130",5647.0879895
"610","1kmE3813N3131",5605.5474885
"611","1kmE3813N3132",6970.9255055
"612","1kmE3813N3133",7365.2851035
"613","1kmE3813N3134",3894.280718
"614","1kmE3813N3135",3548.1560205
"615","1kmE3813N3136",12516.405765
"616","1kmE3813N3137",16361.2403345
"617","1kmE3813N3138",15590.205521
"618","1kmE3813N3139",16840.93215
"619","1kmE3813N3140",19210.5367855
"620","1kmE3813N3141",14986.1327815
"621","1kmE3813N3159",205.01639
"622","1kmE3814N3092",2800.8956005
"623","1kmE3814N3093",3682.7320045
"624","1kmE3814N3094",5457.9014705
"625","1kmE3814N3095",5621.9083645
"626","1kmE3814N3096",7733.394261
"627","1kmE3814N3097",9036.613645
"628","1kmE3814N3098",11279.1473335
"629","1kmE3814N3099",9417.841508
"630","1kmE3814N3100",9044.426491
"631","1kmE3814N3101",11415.3248655
"632","1kmE3814N3102",4928.8624265
"633","1kmE3814N3103",1826.353461
"634","1kmE3814N3104",4654.454305
"635","1kmE3814N3105",2690.9948915
"636","1kmE3814N3106",2606.3698295
"637","1kmE3814N3107",4132.7597965
"638","1kmE3814N3108",9957.5344885
"639","1kmE3814N3109",11319.638716
"640","1kmE3814N3110",4547.3240215
"641","1kmE3814N3111",8350.204153
"642","1kmE3814N3112",3981.328933
"643","1kmE3814N3113",3755.8584445
"644","1kmE3814N3114",7232.3466355
"645","1kmE3814N3115",907.607606
"646","1kmE3814N3116",2579.728315
"647","1kmE3814N3117",5133.9245965
"648","1kmE3814N3118",7719.4102755
"649","1kmE3814N3119",11939.63053
"650","1kmE3814N3120",7519.7228505
"651","1kmE3814N3121",4452.610169
"652","1kmE3814N3122",4014.5544145
"653","1kmE3814N3123",4949.364601
"654","1kmE3814N3124",4855.3708845
"655","1kmE3814N3125",8345.475531
"656","1kmE3814N3126",9097.8901695
"657","1kmE3814N3127",10268.7295965
"658","1kmE3814N3128",8938.5021785
"659","1kmE3814N3129",7440.7485765
"660","1kmE3814N3130",6196.0975935
"661","1kmE3814N3131",6763.898334
"662","1kmE3814N3132",6726.9285315
"663","1kmE3814N3133",7136.419798
"664","1kmE3814N3134",3948.6609115
"665","1kmE3814N3135",4254.8606335
"666","1kmE3814N3136",11541.886115
"667","1kmE3814N3137",15690.107365
"668","1kmE3814N3138",14808.831124
"669","1kmE3814N3139",14549.1112435
"670","1kmE3814N3140",20263.572434
"671","1kmE3814N3141",15923.3474305
"672","1kmE3814N3142",2137.367847
"673","1kmE3814N3145",205.0163905
"674","1kmE3815N3092",3305.2052445
"675","1kmE3815N3093",5198.560373
"676","1kmE3815N3094",5812.1096585
"677","1kmE3815N3095",8269.5485515
"678","1kmE3815N3096",8503.426618
"679","1kmE3815N3097",9222.3965935
"680","1kmE3815N3098",10258.8941065
"681","1kmE3815N3099",11115.491242
"682","1kmE3815N3100",8698.340471
"683","1kmE3815N3101",7133.622584
"684","1kmE3815N3102",3548.811608
"685","1kmE3815N3103",2596.8169705
"686","1kmE3815N3104",3197.7888015
"687","1kmE3815N3105",3097.6811935
"688","1kmE3815N3106",3767.6955545
"689","1kmE3815N3107",6827.0536225
"690","1kmE3815N3108",5961.8154345
"691","1kmE3815N3109",8733.344206
"692","1kmE3815N3110",9506.242964
"693","1kmE3815N3111",10643.265642
"694","1kmE3815N3112",5610.5557015
"695","1kmE3815N3113",3954.694922
"696","1kmE3815N3114",1351.7981105
"697","1kmE3815N3115",205.0163905
"698","1kmE3815N3116",3669.2608685
"699","1kmE3815N3117",4333.5477265
"700","1kmE3815N3118",6020.3016975
"701","1kmE3815N3119",9515.864271
"702","1kmE3815N3120",5495.189932
"703","1kmE3815N3121",3654.999551
"704","1kmE3815N3122",5637.97836
"705","1kmE3815N3123",6302.475381
