"","eeacellcode","pd"
"323","5kmE3920N3100",28984.3289575
"324","5kmE3920N3105",27569.0628415
"325","5kmE3920N3110",23675.1567435
"326","5kmE3920N3115",24935.673416
"327","5kmE3920N3120",30264.485986
"328","5kmE3920N3125",29701.0411295
"329","5kmE3920N3130",26827.682501
"330","5kmE3920N3135",26326.6650235
"331","5kmE3920N3140",25562.8847605
"332","5kmE3920N3145",25349.104407
"333","5kmE3920N3150",27023.466559
"334","5kmE3920N3155",30017.181485
"335","5kmE3925N3080",22589.0947935
"336","5kmE3925N3085",26074.320121
"337","5kmE3925N3090",31330.296328
"338","5kmE3925N3095",29500.694996
"339","5kmE3925N3100",29011.7834855
"340","5kmE3925N3105",26277.170814
"341","5kmE3925N3110",27084.1921295
"342","5kmE3925N3115",28045.854305
"343","5kmE3925N3120",29394.923387
"344","5kmE3925N3125",28289.0185485
"345","5kmE3925N3130",29864.0427815
"346","5kmE3925N3135",31485.5136495
"347","5kmE3925N3140",28480.020996
"348","5kmE3925N3145",28685.6570305
"349","5kmE3925N3150",29901.2584765
"350","5kmE3925N3155",30105.6066745
"351","5kmE3930N3080",24452.974442
"352","5kmE3930N3085",26108.162242
"353","5kmE3930N3090",28269.947981
"354","5kmE3930N3095",26985.6143445
"355","5kmE3930N3100",25616.0901745
"356","5kmE3930N3105",27291.335564
"357","5kmE3930N3110",28054.2869555
"358","5kmE3930N3115",28820.01442
"359","5kmE3930N3120",27652.510927
"360","5kmE3930N3125",27940.4457955
"361","5kmE3930N3130",29708.1522365
"362","5kmE3930N3135",31549.3058465
"363","5kmE3930N3140",31455.590648
"364","5kmE3930N3145",28671.0539405
"365","5kmE3930N3150",27367.098871
"366","5kmE3930N3155",27210.0735065
"367","5kmE3930N3160",28858.246244
"368","5kmE3930N3165",27324.908604
"369","5kmE3935N3080",21272.822815
"370","5kmE3935N3085",25283.380256
"371","5kmE3935N3090",27219.957373
"372","5kmE3935N3095",25869.954142
"373","5kmE3935N3100",28442.250992
"374","5kmE3935N3105",28100.585337
"375","5kmE3935N3110",29281.669872
"376","5kmE3935N3115",28818.191232
"377","5kmE3935N3120",27654.729904
"378","5kmE3935N3125",27493.1434485
"379","5kmE3935N3130",27309.0563575
"380","5kmE3935N3135",28975.335198
"381","5kmE3935N3140",29193.5015855
"382","5kmE3935N3145",28986.17116
"383","5kmE3935N3150",28126.026325
"384","5kmE3935N3155",30125.4383245
"385","5kmE3935N3160",29028.1748415
"386","5kmE3935N3165",29626.234594
"387","5kmE3940N3080",21701.304685
"388","5kmE3940N3085",27697.4223015
"389","5kmE3940N3090",30103.956124
"390","5kmE3940N3095",28333.9844925
"391","5kmE3940N3100",28331.3453605
"392","5kmE3940N3105",28479.67402
"393","5kmE3940N3110",28868.559288
"394","5kmE3940N3115",24105.7618695
"395","5kmE3940N3120",23991.7813775
"396","5kmE3940N3125",30179.9441105
"397","5kmE3940N3130",29262.138196
"398","5kmE3940N3135",30236.3519335
"399","5kmE3940N3140",28345.7519425
"400","5kmE3940N3145",28691.089781
"401","5kmE3940N3150",26876.6644235
"402","5kmE3940N3155",27184.4556145
"403","5kmE3940N3160",27732.1827625
"404","5kmE3940N3165",28623.0930535
"405","5kmE3945N3085",23390.596584
"406","5kmE3945N3090",29291.217855
"407","5kmE3945N3095",31613.064883
"408","5kmE3945N3100",30302.977346
"409","5kmE3945N3105",27905.433296
"410","5kmE3945N3110",26079.7903095
"411","5kmE3945N3115",22482.887834
"412","5kmE3945N3120",22470.9760275
"413","5kmE3945N3125",27157.5317645
"414","5kmE3945N3130",29739.641749
"415","5kmE3945N3135",28530.880961
"416","5kmE3945N3140",25327.208555
"417","5kmE3945N3145",24787.8232035
"418","5kmE3945N3150",28101.599477
"419","5kmE3945N3155",26617.7907025
"420","5kmE3945N3160",26394.172683
"421","5kmE3950N3085",20270.6288785
"422","5kmE3950N3090",27429.5660855
"423","5kmE3950N3095",30449.6320755
"424","5kmE3950N3100",30790.4272005
"425","5kmE3950N3105",31309.3582195
"426","5kmE3950N3110",26928.6834875
"427","5kmE3950N3115",24397.047881
"428","5kmE3950N3120",25703.0553335
"429","5kmE3950N3125",24585.3572345
"430","5kmE3950N3130",28766.484626
"431","5kmE3950N3135",28642.701092
"432","5kmE3950N3140",26465.682067
"433","5kmE3950N3145",25812.594422
